State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,226,1,3,2020-04-06
Andaman and Nicobar Islands,10,0,0,2020-04-06
Arunachal Pradesh,1,0,0,2020-04-06
Assam,26,0,0,2020-04-06
Bihar,30,0,1,2020-04-06
Chandigarh,18,0,0,2020-04-06
Chhattisgarh,9,3,0,2020-04-06
Delhi,503,18,7,2020-04-06
Goa,7,0,0,2020-04-06
Gujarat,122,18,11,2020-04-06
Haryana,84,25,1,2020-04-06
Himachal Pradesh,13,1,1,2020-04-06
Jammu and Kashmir,106,4,2,2020-04-06
Jharkhand,3,0,0,2020-04-06
Karnataka,151,12,4,2020-04-06
Kerala,314,55,2,2020-04-06
Ladakh,14,10,0,2020-04-06
Madhya Pradesh,165,0,9,2020-04-06
Maharashtra,690,42,45,2020-04-06
Manipur,2,0,0,2020-04-06
Mizoram,1,0,0,2020-04-06
Odisha,21,2,0,2020-04-06
Puducherry,5,1,0,2020-04-06
Punjab,68,4,6,2020-04-06
Rajasthan,253,21,0,2020-04-06
Tamil Nadu,571,8,5,2020-04-06
Telengana,321,34,7,2020-04-06
Uttarakhand,26,4,0,2020-04-06
Uttar Pradesh,227,19,2,2020-04-06
West Bengal,80,10,3,2020-04-06
India,4067,292,109,2020-04-06
